PG.ProteinGroups,PG.Genes,PG.Organisms,[1] oecf4_20240822_Exp61_LTED_DMSO_rep1_full.raw.PG.Quantity,[2] oecf4_20240822_Exp61_LTED_DMSO_rep2_full.raw.PG.Quantity,[3] oecf4_20240822_Exp61_LTED_DMSO_rep3_full.raw.PG.Quantity,[4] oecf4_20240822_Exp61_LTED_inh_rep1_full.raw.PG.Quantity,[5] oecf4_20240822_Exp61_LTED_inh_rep2_full.raw.PG.Quantity,[6] oecf4_20240822_Exp61_LTED_inh_rep3_full.raw.PG.Quantity,[7] oecf4_20240822_Exp61_TAMR_DMSO_rep1_full.raw.PG.Quantity,[8] oecf4_20240822_Exp61_TAMR_DMSO_rep2_full.raw.PG.Quantity,[9] oecf4_20240822_Exp61_TAMR_DMSO_rep3_full.raw.PG.Quantity,[10] oecf4_20240822_Exp61_TAMR_inh_rep1_full.raw.PG.Quantity,[11] oecf4_20240822_Exp61_TAMR_inh_rep2_full.raw.PG.Quantity,[12] oecf4_20240822_Exp61_TAMR_inh_rep3_full.raw.PG.Quantity,[13] oecf4_20240822_Exp61_WT_DMSO_rep1_full.raw.PG.Quantity,[14] oecf4_20240822_Exp61_WT_DMSO_rep2_full.raw.PG.Quantity,[15] oecf4_20240822_Exp61_WT_DMSO_rep3_full.raw.PG.Quantity,[16] oecf4_20240822_Exp61_WT_inh_rep1_full.raw.PG.Quantity,[17] oecf4_20240822_Exp61_WT_inh_rep2_full.raw.PG.Quantity,[18] oecf4_20240822_Exp61_WT_inh_rep3_full.raw.PG.Quantity
A0A024RBG1,NUDT4B,Homo sapiens,217349.578125,258761.15625,99902.4375,283908.71875,284014.6875,96392.828125,236489.03125,201266.28125,200968.65625,201604.15625,228015.5625,318171.8125,281756.8125,119583.5,93296.9921875,242619.8125,177469.84375,89539.71875
A0A096LP01,SMIM26,Homo sapiens,96581.234375,88957.703125,112850.078125,87457.125,114366.6796875,75468.390625,101954.4296875,90078.0390625,95244.9609375,103355.4375,102460.6640625,120860.953125,132937.109375,79889.34375,88181.7734375,116235.8984375,104629.6015625,85896.0078125
A0A0B4J2D5;P0DPI2,GATD3B;GATD3,Homo sapiens,8642660,8998073,6389793,8032595,10151640,5963916,5298657.5,4928073,5557830,5316850.5,5163287,7845879.5,6751794.5,5241521,4333756.5,6941932,5779415.5,4603223.5
A0A0B4J2F0,PIGBOS1,Homo sapiens,40962.73046875,39353.2734375,NaN,47572.48828125,39063.27734375,26426.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A0U1RQS6,TMEM275,Homo sapiens,1397.8865966796875,2579.76416015625,1889.5733642578125,2659.991455078125,2356.3994140625,NaN,2706.777587890625,NaN,2286.5009765625,1767.4554443359375,2699.193603515625,1601.6688232421875,3326.63916015625,2043.2222900390625,1621.7413330078125,3657.119873046875,2516.6923828125,2297.105224609375
A0A0U1RRE5,NBDY,Homo sapiens,3673.847900390625,5140.55078125,2517.05517578125,4076.84033203125,5191.5927734375,2322.69189453125,3953.048828125,6614.48486328125,NaN,2939.697021484375,3417.966552734375,3111.129150390625,2483.804443359375,3121.859375,3940.57763671875,2544.553955078125,NaN,NaN
A0A0U1RRL7,MMP24OS,Homo sapiens,19340.68359375,16188.3017578125,15820.533203125,15620.572265625,23825.9921875,NaN,15102.474609375,16795.25,14454.4462890625,19309.892578125,15393.7548828125,NaN,NaN,14156.095703125,10939.54296875,13644.228515625,16892.78515625,11723.7109375
A0A1W2PQ72,MSANTD7,Homo sapiens,6178.33837890625,6830.275390625,NaN,5551.4287109375,8514.3916015625,6549.41796875,13111.93359375,16445.5546875,11514.783203125,16558.572265625,12961.306640625,18296.560546875,22319.267578125,14306.4423828125,18150.0078125,20221.048828125,18293.53125,16241.4375
A0A2R8Y4Y8,OOSP4B,Homo sapiens,NaN,NaN,NaN,NaN,NaN,19320.43359375,NaN,23732.470703125,33768,17060.537109375,28049.078125,40688.74609375,NaN,36399.08984375,22709.8828125,NaN,31080.7890625,NaN
A0A2R8Y7D0,TINCR,Homo sapiens,6599.99365234375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32313.251953125,31021.23046875,17394.79296875,46940.29296875,24738.90234375,NaN
