"","MCF7_LTED_r1","MCF7_LTED_r2","MCF7_LTED_r3","MCF7_TAMR_r1","MCF7_TAMR_r2","MCF7_TAMR_r3","MCF7_WT_r1","MCF7_WT_r2","MCF7_WT_r3"
"A0A024RBG1_NUDT4B",15.8282839348438,15.6727028498827,15.8432857156963,16.4995108249764,16.738849558709,16.6072231559554,15.6796788247078,NA,15.8761619964478
"A0A096LP01_SMIM26",16.4146336811223,16.3748679142794,16.25323831918,16.1475869708387,16.1629877343813,16.1391505506302,15.7683187414034,15.9771010779515,15.8412758873349
"A0A0B4J2F0_PIGBOS1",18.4777122586962,18.4833973398185,18.54136725513,16.9317790807615,17.0430882782093,16.9564732962282,16.9874660339003,16.9828902543751,16.9098748642914
"A0A1B0GW15_LOC122394732",20.1910618267921,22.6487715004121,22.1849883823511,NA,22.1486657209332,22.1550261804242,20.3732089935181,21.9566675743539,21.657503315899
"A0A6I8PU40_TUG1",15.8302021345307,15.7625802666416,15.4798268567228,15.8385322642863,15.6483228943625,15.7475477055186,15.4670328620492,15.6707882027533,NA
"A0A8Q3SIG1_LOC400499",NA,NA,NA,15.1412201311955,15.2019672606156,15.1235340910068,15.126427964177,15.2868399890497,15.2325901401319
"A0AV96_RBM47",20.2187518206895,20.0602854432764,20.2096536264422,20.1145505289336,20.1572663029629,20.0955348999321,20.1109958462817,20.1824384809532,20.0463540638857
"A0AVF1_TTC26",17.9135719756945,17.8134085764323,17.9671071303151,17.6653247967888,17.5581687104786,17.6502331120143,17.8741565805241,17.8501123305,17.7034175053079
"A0AVI2_FER1L5",NA,17.817014541208,NA,18.6461536275706,18.6263984386199,18.6120326625854,17.8901196853019,17.878580768369,NA
"A0AVK6_E2F8",15.5235465859378,15.2728528220758,15.6262269135467,15.5633385205808,15.5602580250419,15.5347888733655,15.5278150772944,15.3609889842339,15.5926160982997
"A0AVT1_UBA6",21.1637721554517,21.1267945677595,21.2276142011948,20.813796234757,20.8754323702136,20.8247591145653,20.8775891998469,20.9027805950175,21.0139619998732
"A0FGR8_ESYT2",19.4627145859248,19.5901433399584,19.4071865281435,20.1514091881736,20.2331780122836,20.1399504894741,20.080151776741,20.2340789785516,20.2408574282781
"A0JLT2_MED19",17.4728604667566,17.6457064690432,18.0035369063403,17.7349159659497,17.5816513713669,17.9750119839439,17.8531702405648,17.745162517011,17.6895718045152
"A0JNW5_BLTP3B",17.6014090713581,17.5521911478834,17.8453971649385,18.1768019322897,18.0125842864913,18.1584885186966,17.6518282683745,17.7491216180378,17.8179740040953
"A0MZ66_SHTN1",21.3521981497204,21.4182097184768,21.4114926123453,20.4995694966216,20.6128484956211,20.5706676873525,21.0806010839164,21.097565514231,21.2772428338285
"A0PJW6_TMEM223",19.0850480655017,19.1681368881258,18.8802438626068,18.3990628833898,18.3705458843412,18.322858384475,18.5756356387696,18.3083995957949,17.2998720005783
"A1A4S6_ARHGAP10",18.1525644359556,18.0738354232424,18.1518763080394,17.4875140644834,17.6365320314231,17.5502963935438,17.1920143775474,17.3478713669967,17.6121549984421
"A1A5D9_BICDL2",16.2295176602479,16.0074131528724,15.6617869029194,NA,NA,NA,NA,NA,NA
"A1L020_MEX3A",NA,NA,NA,16.6952684239895,16.8962300572558,NA,17.6787523949986,17.2778519795102,16.9314624378421
"A1L0T0_ILVBL",20.0038551289372,19.5841586201566,19.6975098729996,19.1569208760926,19.1711192602352,19.1454846665096,19.2918811741349,19.2835284426732,19.5124520179287
"A1L188_NDUFAF8",17.3424413276434,17.2522271903395,17.1937140530599,17.5614942878363,17.4262404103529,17.3892406728647,17.4894079922092,17.3063875992084,17.4063983124607
"A1L390_PLEKHG3",21.7256574132298,21.6701266143233,21.5849659180481,20.8697812576955,20.5869656348102,20.7790511056669,21.080981932064,21.021180795885,21.1332796734682
"A1X283_SH3PXD2B",17.9096761710702,17.8463575341459,17.8713808306215,16.9626443272739,17.2213215989491,17.1169708260834,18.1127908250691,17.9741673267672,17.9738657600797
"A2A3N6_PIPSL",NA,NA,NA,NA,15.0586681781842,NA,15.0785879887325,15.035869277851,15.1302967672678
"A2RRP1_NBAS",18.7677218252193,18.9672022953763,18.7789846020455,18.6252858544901,18.8123558920525,18.7434466024333,19.2072514624808,19.3585995765796,19.1734349270578
"A2RTX5_TARS3",17.1073766633467,17.2137082928587,17.2150671821393,17.1038977219219,17.2999810502966,17.3360594222669,17.2845789470922,17.4715298560788,17.2134565592165
"A2RU49_HYKK",NA,NA,NA,15.9916780483152,15.8200092431392,15.8701009585012,15.4631699280917,15.4319826835836,15.4062632558514
"A2RU67_FAM234B",17.3906338311803,17.3854671465941,17.4135032732939,17.7238584159649,17.6489391062627,17.6741639260587,17.6077847122166,17.6011683351509,17.8025452758842
"A2RUC4_TYW5",17.9799711985437,18.0862266837027,18.1140365676396,18.1708961847778,18.1191505686159,18.0482001735677,17.8309722914294,17.9201350276639,17.6672343074247
"A3KMH1_VWA8",19.9307716054914,19.9062772288207,19.972529388202,19.958033873702,20.2268006181963,20.0781158622711,20.0453894907976,20.2924997324137,20.0535083525395
"A3KN83_SBNO1",19.2654035042803,19.1069498651777,19.1106698034856,19.7325623790356,19.6124053499863,19.7807149418848,19.5022810363822,19.2705529210036,19.5930350209396
"A4D161_FAM221A",18.2044943324721,18.1141814384007,18.2841285183055,15.9948486080686,16.0489251650916,16.2930060423627,16.1396986130415,16.3994735808762,16.6752314793648
"A4D1E9_GTPBP10",19.0357206889945,18.9880853949622,18.9622699032656,19.0525918594885,19.0260020361411,19.1001016883524,19.3625843523886,19.0517997703451,19.3102499967517
"A4D1P6_WDR91",17.7370525129696,17.9312542893652,17.8186769913558,17.7209424925597,17.836379166113,17.632713144461,17.777670829995,17.9148827622433,17.8337709183479
"A4D1S0_KLRG2",15.4350236795853,NA,15.4697593165016,15.3895605668596,15.9284521738883,15.5484802719964,16.031649645349,16.2007663980844,16.1494783400599
"A4D1S5_RAB19",16.0559368071004,16.1478512645256,16.0768853608052,15.7719105960183,15.8798993598386,15.942809277944,16.4220437182492,16.530061344429,16.5959875937033
"A4D1U4_DENND11",16.6979304799131,16.7354718125533,16.3877882686942,17.0708694308879,16.945413781432,17.0186594713138,16.5526954915464,16.8280589433163,16.1971794530496
"A5A3E0_POTEF",24.4859029010195,24.5820356907975,24.2958114322197,23.8494021672929,22.7393100667611,24.4492536009426,23.0881966988525,24.3872028982169,23.407890077874
"A5D8V6_VPS37C",19.3721799877547,19.323847961572,19.2813751288403,18.6799919412211,18.761463543789,18.5710167988836,18.2627596602006,18.3802378376404,18.7874074403387
"A5PLL7_PEDS1",17.5850199830693,17.2847356513107,17.0625906637745,17.0470330515287,16.861035260822,17.2957577656355,17.1496437001191,17.3987783815675,16.7117971720422
"A5PLN9_TRAPPC13",17.3001739821092,17.1882792874272,16.9833938154037,17.1915200488111,16.9046529703359,17.2268499594944,16.9402692308269,16.6499119195723,16.8833401798727
"A5YKK6_CNOT1",20.704673489656,20.6994281701524,20.743339154861,20.7546072832172,20.7424013473736,20.7062581536756,20.6570863556335,20.5953206101009,20.5899225591692
"A5YM69_ARHGEF35",15.0404407305354,15.2221051024092,15.1264772417179,15.4253732779047,15.3583955208675,15.3965508888702,15.5250336155582,15.396707245643,NA
"A6ND36_FAM83G",18.6794089444372,18.7829647536509,18.6625696160002,18.8378356276578,18.6054629134083,18.8437779559659,18.3277159493477,18.4135762446506,18.3215092502565
"A6NDB9_PALM3",18.6872780586608,18.8144694570157,18.6750140838266,17.0887764226978,17.3779197898904,17.3330972422748,17.9073814593391,17.552581557208,17.7245581019947
"A6NDG6_PGP",21.9312723814981,21.951873725357,22.0144443206864,21.327809982722,21.1995348879877,21.3595653471398,21.6521095022824,21.5825984840609,21.6569946916327
"A6NDU8_RIMOC1",20.2108727897952,20.2106883284255,20.3469275854963,20.0454939983143,20.1807164412701,20.1557267961943,19.6856812137467,19.7078058750152,19.7732494421483
"A6NED2_RCCD1",17.7227394405621,17.7820769183796,17.6945078966059,17.4786909712858,17.5370554478823,17.5587689948625,17.5352975343639,17.4106765280665,17.3964192006256
"A6NFI3_ZNF316",17.7353505102352,18.012161053799,17.7858910696403,17.427428506924,17.3528108104344,17.242638416591,17.6242645245778,17.7242497734654,17.6954530861269
"A6NGR9_MROH6",NA,NA,NA,NA,NA,NA,16.2632817873464,16.5732133642741,16.3260409093524
"A6NHL2_TUBAL3",18.9878533498928,19.0300452618429,19.0714577650212,18.7496809491222,18.3355495920735,18.6858736945535,18.6375438046017,18.6938909750137,17.7951928834763
"A6NHR9_SMCHD1",19.3643355908122,19.4599029557344,19.407325256316,19.7699206185981,19.7216403448934,19.7496876148469,19.6002102384404,19.5669053522419,19.6978069872239
"A6NHX0_CASTOR2",17.5649678518515,17.8149330235322,17.3855270557193,16.8631332202315,16.715607493115,16.7439384608522,16.9723387060948,16.9296244859986,16.8470315528742
"A6NIH7_UNC119B",19.93399671972,19.8616482326733,19.9890334528601,19.2071745264231,19.3245604256983,19.3386169265295,19.4919807989224,19.4528783620659,19.4031901244504
"A6NJ78_METTL15",17.4801271916902,17.6140824802738,17.3327144439868,17.7685720865533,17.7664633962727,17.8181111736326,17.8649131059591,17.6867118596308,17.5416865899426
"A6NK58_LIPT2",17.0836433746436,16.8289777625465,17.0542553542586,16.9788355454253,17.2442511209582,16.9151604344832,16.840809853057,16.9176725795836,16.8716392092709
"A6NKD9_CCDC85C",17.6915860386481,17.8632932033194,17.525118157842,17.9012964960998,17.6444521059785,17.9770957291096,17.6366311389783,17.5457219324501,17.2799156695163
"A6NKF1_SAC3D1",18.3543535814494,18.6515499244132,18.4122437110724,18.4427531893596,18.1153280884294,18.3148960625356,18.4234444515334,18.3191081278362,17.6627585575016
"A6NNL5_C15orf61",16.9894995665513,17.2910181935996,16.9364286096782,17.5596347580986,17.6139113468515,17.5967859078737,16.7585155114359,16.6689174771082,16.487885244182
"A7E2V4_ZSWIM8",17.9094122064504,18.1257562193397,18.0680267630937,18.0863463571389,18.2841744796527,18.1556620000126,18.1932609845258,18.4363186280266,18.2255967571901
"A7KAX9_ARHGAP32",18.0549865532744,18.0744454579624,17.8818598605551,16.9288011258134,16.9758442360751,16.9745025952088,17.4494715503181,17.317245456859,16.8766206963368
