"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A0A024RBG1_NUDT4B",0.83354067049317,16.0932121076524,7.96894049487168,0.000143003359976592,0.00106141814273888,0.990423401800724
"A0A096LP01_SMIM26",0.287676516386814,16.1199067641246,3.66149680118055,0.00721445880883468,0.0210130521522955,-3.55728965298719
"A0A0B4J2F0_PIGBOS1",0.0170365008774134,17.4793387401567,0.237243766443054,0.818855071891696,0.872251222601647,-7.86567183608175
"A0A1B0GW15_LOC122394732",0.212770228388788,21.6644866868355,0.857356324385769,0.427966371772501,0.536273219505126,-7.20208148512913
"A0A6I8PU40_TUG1",0.227964458599359,15.6806041483581,1.98414277366209,0.0910980250228331,0.157424141342577,-6.06641397072816
"A0A8Q3SIG1_LOC400499",-0.0597122035135573,15.1854299293628,-0.832804017315074,0.43987524754324,0.547466334905764,-7.42079099270835
"A0AV96_RBM47",0.00918778023605427,20.1328701125953,0.141106381181637,0.89152297645499,0.925793691252159,-7.88616495481353
"A0AVF1_TTC26",-0.184653265683423,17.7772778575617,-2.35737708245927,0.0483776149742709,0.0953213573397682,-5.54690016316556
"A0AVI2_FER1L5",0.751925806259838,18.2450499539425,9.00889964127414,0.000502516131611443,0.00271309027271856,0.226452871661018
"A0AVK6_E2F8",0.0589884197200448,15.5069368778196,0.723543659850501,0.491416444538544,0.597278015659327,-7.61092260212076
"A0AVT1_UBA6",-0.0934480250672252,20.9807222709644,-1.84975863256641,0.104215997207683,0.174875175296912,-6.30318529802243
"A0FGR8_ESYT2",-0.010183497879801,19.9488522586143,-0.174319277210802,0.866253778344111,0.908437604312857,-7.88025237735445
"A0JLT2_MED19",0.0012249197231391,17.744620858388,0.00950929443562306,0.992662253457519,0.994499236394617,-7.89737406491196
"A0JNW5_BLTP3B",0.376316948989988,17.8406440013517,4.66644483337164,0.001942291993824,0.00760477223277995,-2.13754723464019
"A0MZ66_SHTN1",-0.590774584126933,21.0355995102349,-10.7933974652362,8.13890634863743e-06,0.00014381380072409,3.89890071964642
"A0PJW6_TMEM223",0.302853305687712,18.4899781337314,1.34573916240615,0.222813414116146,0.320287048378309,-6.97742646951818
"A1A4S6_ARHGAP10",0.174100582154676,17.6894065999638,1.75630398223939,0.119841180666371,0.195923696849581,-6.43598957567631
"A1L020_MEX3A",-0.682552946631745,17.0959130587192,-3.92979297952724,0.015746930588771,0.0388966993057041,-3.76114278428718
"A1L0T0_ILVBL",-0.204778943966463,19.4274344510742,-1.95861073083579,0.088504671014556,0.153767007224064,-6.14544467703324
"A1L188_NDUFAF8",0.0582604890585259,17.3741724273306,0.816665713744963,0.439428658011493,0.547218796273029,-7.53571184785707
"A1L390_PLEKHG3",-0.333214801081514,21.1613322605768,-4.99112190683838,0.00131219852763563,0.00564851224311623,-1.70911675321226
"A1X283_SH3PXD2B",-0.919962386536593,17.6654639111178,-10.1838180140004,1.22492899510411e-05,0.000193084168403524,3.44815828342973
"A2A3N6_PIPSL",0.0227989003331786,15.0758555530089,0.153729975844818,0.886370112087875,0.922447523402097,-7.20105465432336
"A2RRP1_NBAS",-0.519399205714095,18.9371425597484,-9.23302727051512,2.42435618740584e-05,0.000305927276919805,2.69422598456564
"A2RTX5_TARS3",-0.0765423893007018,17.2495172994686,-0.874350592601623,0.409204047694079,0.517341647861954,-7.48531644926054
"A2RU49_HYKK",0.460124127476334,15.6638673529137,5.78004369730299,0.00162615239029833,0.0066480935956314,-1.50034795563354
"A2RU67_FAM234B",0.0118210416781679,17.583118224734,0.15685035905656,0.879525948399961,0.917498371762311,-7.88351640053686
"A2RUC4_TYW5",0.306635100147805,17.9929803337073,3.7715532946439,0.00620337262199617,0.0186271734859233,-3.39529167052954
"A3KMH1_VWA8",-0.0428157405271499,20.0515473502705,-0.591999529579558,0.571358463339734,0.669944087765684,-7.7034910046079
"A3KN83_SBNO1",0.253271230860413,19.4416194246862,3.59214063448546,0.00794178449391606,0.0226602172540227,-3.66011207569676
"A4D161_FAM221A",-0.292541285919834,16.9059986419982,-2.90970086303825,0.0211464321589363,0.0488117372750809,-4.69607815250917
"A4D1E9_GTPBP10",-0.181979511834466,19.0988228545211,-2.48016122615986,0.0401816551188907,0.0819591212301741,-5.35864455677181
"A4D1P6_WDR91",-0.112096569150832,17.800371456379,-1.6664038976148,0.136943236091863,0.218292543770286,-6.56101603517813
"A4D1S0_KLRG2",-0.505133790249674,15.7691462990405,-5.27342300279835,0.00149334434119754,0.0062556808155919,-1.67319203272068
"A4D1S5_RAB19",-0.651157807526845,16.1581539247348,-9.23031300604692,2.42929320027061e-05,0.000305927276919805,2.6919775697367
"A4D1U4_DENND11",0.485669598573793,16.7148963480785,3.78095321181628,0.0061243851512259,0.0184552323536153,-3.38152364307749
"A5A3E0_POTEF",0.0515587200177201,23.9205561704419,0.0936766726015775,0.928844761965106,0.952015867467261,-7.8922113217214
"A5D8V6_VPS37C",0.194022448571353,18.8244755889156,1.49371287181501,0.177505390873045,0.267605741120968,-6.79238046915582
"A5PLL7_PEDS1",-0.0187977252475662,17.1551546255411,-0.092813210925218,0.928635245013845,0.952015867467261,-7.8925166557027
"A5PLN9_TRAPPC13",0.283167216123204,17.0298212659837,2.56010891652333,0.0356203195285288,0.074730335564106,-5.2355627756792
"A5YKK6_CNOT1",0.120312419787567,20.6881152359822,2.62543330056967,0.0322896195081865,0.0689729368930108,-5.13481050382164
"A5YM69_ARHGEF35",-0.0674090038413979,15.3113854529383,-0.808978456731686,0.447306992569885,0.55450980350199,-7.47849995547151
"A6ND36_FAM83G",0.408091684259077,18.6083134728195,4.79834448317356,0.00165321430774661,0.00672277839506532,-1.96167837892124
"A6NDB9_PALM3",-0.461575887892909,17.9067862414342,-3.8349805930988,0.00569093584997223,0.0174853632367568,-3.30260321093446
"A6NDG6_PGP",-0.334930820042125,21.6306892581519,-7.20977092752573,0.000129646905256587,0.0009872017835524,0.839988611806691
"A6NDU8_RIMOC1",0.405066901622853,20.0352402744895,7.7645439028589,7.90701767151621e-05,0.000702080721239738,1.3868271101552
"A6NED2_RCCD1",0.077374050324881,17.5684703258482,1.03103606726616,0.334802449627884,0.44244852677704,-7.33471850539913
"A6NFI3_ZNF316",-0.340363216740229,17.6222497501993,-3.90260254478123,0.00519452935126183,0.0162621526987701,-3.20434493251932
"A6NHL2_TUBAL3",0.214825524219137,18.665232030622,0.936781691490814,0.38209098181626,0.490526541727172,-7.42349460863294
"A6NHR9_SMCHD1",0.125442000144087,19.593081662123,2.19789636400951,0.0616020304386362,0.115400030066987,-5.78922469633472
"A6NHX0_CASTOR2",-0.142105190256292,17.0930113166966,-1.36708063417607,0.211386788356139,0.306825896522248,-6.95318343297469
"A6NIH7_UNC119B",-0.159232468929261,19.555897729927,-2.50946702926911,0.038443966484017,0.0792835510575426,-5.31356338580783
