Omnipath_Kinase	score	p_value
AKT1	0.7221114615246362	0.47
AKT2	-1.722106041999809	0.083
AKT3	0.02262943273632786	0.976
ARAF	0.6498680006492515	0.462
ATM	0.047346836267187886	0.946
ATR	0.412677883037453	0.643
AURKA	1.2985441269135507	0.179
AURKB	1.646917480118202	0.109
BMPR1A	0.9848572227264409	0.288
BRAF	-0.6344791514544073	0.547
BUB1	1.238512274229124	0.204
CAMK2A	0.408329209467252	0.709
CAMK2B	-0.9763189332298762	0.301
CAMK2D	0.9606126955569686	0.323
CAMK2G	-0.7690630199032248	0.402
CAMK4	-1.6229403502923665	0.105
CDC7	0.35343037626966245	0.72
CDK1	0.11820730778025196	0.911
CDK10	-0.16753458847096578	0.897
CDK12	-0.6736444021210484	0.517
CDK13	-0.16753458847096578	0.897
CDK16	-0.012272231124048068	0.979
CDK17	-0.22048205497372705	0.848
CDK18	-0.16753458847096578	0.897
CDK19	-0.16753458847096578	0.897
CDK2	1.0727065024402243	0.28
CDK20	-0.2254090244396461	0.834
CDK3	-0.38299652817821433	0.726
CDK4	-0.8360278746376388	0.391
CDK5	1.257540614897916	0.203
CDK6	0.08471417573254704	0.951
CDK7	-0.2973336696898218	0.752
CDK8	-0.16753458847096578	0.897
CDK9	-0.3941680406838077	0.691
CDKL5	-0.6146625705219703	0.489
CHEK1	1.5222711487446245	0.135
CHEK2	-0.25367398128658075	0.755
CHUK	-0.12036931227861215	0.923
CLK1	-0.34724715679321533	0.721
CLK2	-0.4980010526383021	0.577
CLK3	-0.17593369833134587	0.85
CSNK1A1	-0.3538100889255223	0.731
CSNK1D	0.1303115491694686	0.894
CSNK1E	0.3731967929014535	0.728
CSNK2A1	2.205943979061725	0.025
CSNK2A2	1.9725315907093866	0.051
CSNK2B	0.16964734525184416	0.839
DYRK1A	-1.0421803562194982	0.269
DYRK2	2.6071458278729476	0.015
EEF2K	2.060777455670742	0.046
GSK3A	-0.6931492800698812	0.483
GSK3B	0.5678208776622571	0.604
HIPK2	0.4642997865334841	0.617
IKBKB	0.3821164017180437	0.696
IKBKE	-0.5823680299337679	0.513
MAP2K1	-2.0049230071625725	0.049
MAP3K7	-0.7713600466366429	0.44
MAP3K8	-1.3153270238496149	0.198
MAPK1	-0.21251232291893543	0.859
MAPK10	1.0725607305923681	0.274
MAPK11	0.11087730421991812	0.907
MAPK12	-0.20479652683251737	0.812
MAPK13	-1.1431750520638464	0.232
MAPK14	-1.0219756925125316	0.296
MAPK15	-1.0090132974057124	0.296
MAPK3	-0.4013971001019711	0.663
MAPK4	-1.3337685468422873	0.156
MAPK6	-0.17959840770368432	0.857
MAPK7	0.3560295088912778	0.719
MAPK8	1.6038185176643647	0.112
MAPK9	0.34073092055289955	0.726
MAPKAPK2	1.373721349217987	0.15
MAPKAPK5	-0.48882557872361404	0.581
MARK2	0.3933745748333665	0.718
MARK3	-0.6409128549033787	0.547
MELK	-1.3024023152881112	0.163
MTOR	0.6807415456902625	0.499
NEK3	-0.17737821236803203	0.855
NLK	-1.070926419800085	0.247
NUAK1	0.6744456821546437	0.539
PAK1	0.5248128944832746	0.58
PAK2	0.3221228030377981	0.735
PAK4	0.21120864466530348	0.834
PDK1	-1.2143776579561456	0.213
PDPK1	0.09304132144324767	0.918
PIM1	0.32359941247731183	0.741
PIM2	0.17840529827932822	0.828
PIM3	0.20934822272220346	0.803
PKN1	0.9807466553726186	0.308
PLK1	0.4057000277158138	0.698
PLK3	-0.11843055631920116	0.91
PPM1A	-2.221640286747298	0.034
PPP1CA	-1.5201970891271233	0.124
PPP1CB	-1.4595987480468033	0.127
PPP1CC	-1.9053165812045159	0.056
PPP2CA	-1.465482417072632	0.137
PPP2CB	-1.2794304891761035	0.197
PPP3CA	-0.6863797317551469	0.468
PPP3CB	-1.1391020379469363	0.233
PPP3CC	-1.1391020379469363	0.233
PRKAA1	0.40897317670488836	0.68
PRKAA2	1.4577707263601332	0.133
PRKACA	-0.9539142275910931	0.338
PRKACB	-0.18126462364757798	0.878
PRKACG	0.04848893398830817	0.905
PRKCA	-0.06806107337718438	0.906
PRKCB	-2.4183453455142816	0.014
PRKCD	-0.700805389294115	0.47
PRKCE	-0.40795052603416715	0.649
PRKCG	-0.8588026832614931	0.324
PRKCI	0.9948354837772136	0.291
PRKCZ	-1.4939682446965037	0.128
PRKD1	-1.909787215382649	0.057
PRKDC	0.6383127456021691	0.499
PRKG1	-1.5430266287984222	0.125
PRKX	-3.3877205512471047	0.001
PRKY	-3.3877205512471047	0.001
PTPRG	-1.509872654580226	0.147
RAF1	-0.08718804784616709	0.907
RET	-0.15392555940570077	0.863
ROCK1	-0.16330529411014516	0.875
RPS6KA1	-0.5996010954743413	0.529
RPS6KA2	-0.22555006581953052	0.767
RPS6KA3	0.14040001242432745	0.919
RPS6KA4	-0.49922210955061774	0.599
RPS6KA5	-0.4218072120728453	0.633
RPS6KA6	-0.13456008279890075	0.863
RPS6KB1	-0.8994807662586771	0.354
RPS6KB2	-1.0641133031789702	0.25
RSKR	-0.13456008279890075	0.863
SGK1	0.33902295337952965	0.745
SGK2	0.016643275333094214	0.983
SGK3	-0.18275528391588064	0.803
SRC	2.9895612927916155	0.01
SRPK1	-0.3655768290960283	0.683
SRPK2	-0.06670162869358064	0.921
STK17A	0.27608032146457673	0.837
STK38	0.059101219826796156	0.931
TBK1	-0.26244582177514614	0.776
TTK	-0.2647225943987252	0.803
UHMK1	-0.4301484086810924	0.689
WEE1	-0.7055000744536282	0.495
