"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","LTED_UP","R-HSA-191273","Cholesterol biosynthesis","10/232","27/11009",8.77549009786729e-11,7.79263520690616e-08,7.34369960821526e-08,"4047/4597/3157/4598/3422/6713/1718/50814/1595/1717",10
"2","LTED_UP","R-HSA-2426168","Activation of gene expression by SREBF (SREBP)","11/232","42/11009",6.92078522806911e-10,3.07282864126268e-07,2.89580224016576e-07,"6319/4047/2194/4597/3157/4598/31/3422/6713/1595/1717",11
"3","LTED_UP","R-HSA-114608","Platelet degranulation","16/232","129/11009",1.16290772449584e-08,3.37427523640341e-06,3.17988242406438e-06,"9948/5340/2/197/213/710/7123/7057/5345/1191/2153/2316/7114/7277/3699/3700",16
"4","LTED_UP","R-HSA-1655829","Regulation of cholesterol biosynthesis by SREBP (SREBF)","11/232","55/11009",1.51994380018172e-08,3.37427523640341e-06,3.17988242406438e-06,"6319/4047/2194/4597/3157/4598/31/3422/6713/1595/1717",11
"5","LTED_UP","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","16/232","134/11009",2.02103868298324e-08,3.58936470097823e-06,3.38258053257195e-06,"9948/5340/2/197/213/710/7123/7057/5345/1191/2153/2316/7114/7277/3699/3700",16
"6","LTED_UP","R-HSA-8957322","Metabolism of steroids","17/232","155/11009",2.61902624153531e-08,3.87615883747226e-06,3.65285238950978e-06,"6319/11001/213/2638/706/4047/2194/4597/3157/4598/31/3422/6713/1718/50814/1595/1717",17
"7","LTED_UP","R-HSA-76002","Platelet activation, signaling and aggregation","20/232","263/11009",6.94153352730551e-07,8.80583110321041e-05,8.29852504392162e-05,"9948/5340/2/197/213/710/7123/7057/5345/1191/2153/2316/207/7114/7277/5580/3699/3700/3708/55970",20
"8","LTED_UP","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","13/232","125/11009",2.19356633336435e-06,0.000243485863003442,0.000229458583555876,"7425/8614/5340/462/718/197/213/174/338/2153/3485/3698/3913",13
"9","LTED_UP","R-HSA-8957275","Post-translational protein phosphorylation","11/232","108/11009",1.64299484646651e-05,0.00162108824851362,0.00152769696250394,"7425/8614/462/718/197/213/174/338/2153/3698/3913",11
"10","LTED_UP","R-HSA-199220","Vitamin B5 (pantothenate) metabolism","5/232","20/11009",4.76517932963737e-05,0.00423147924471798,0.00398770270217022,"8876/5167/2194/79877/79646",5
"11","LTED_UP","R-HSA-432720","Lysosome Vesicle Biogenesis","6/232","35/11009",7.98637895333642e-05,0.0064471859186934,0.00607576197885402,"8906/6845/1522/23431/11154/10717",6
"12","LTED_UP","R-HSA-8978868","Fatty acid metabolism","13/232","177/11009",9.32629116538411e-05,0.00690145546238424,0.00650386094428102,"6319/11001/8310/2181/1543/283927/873/2194/47/31/1666/80221/58526",13
"13","LTED_UP","R-HSA-75105","Fatty acyl-CoA biosynthesis","6/232","38/11009",0.000128849560194185,0.00880141611172586,0.00829436440116413,"6319/11001/2181/2194/47/31",6
"14","LTED_UP","R-HSA-2142845","Hyaluronan metabolism","4/232","17/11009",0.000368544106383351,0.0233762261763154,0.0220295161334409,"10057/960/6548/11261",4
"15","LTED_UP","R-HSA-6798695","Neutrophil degranulation","22/232","480/11009",0.000506940300890014,0.0300108658126888,0.0282819325759692,"11001/8987/8876/718/4893/197/4057/5836/302/4257/960/3958/5236/5873/47/5580/5795/8514/57153/258010/53917/1522",22
"16","LTED_DOWN","R-HSA-6790901","rRNA modification in the nucleus and cytosol","7/136","61/11009",9.41239986929812e-06,0.00591098711791922,0.0054294685561846,"27340/4839/23160/27042/84128/84916/25926",7
"17","LTED_DOWN","R-HSA-210991","Basigin interactions","4/136","25/11009",0.000230421917208585,0.0443917899040819,0.0407755629692204,"3688/6520/6566/8140",4
"18","LTED_DOWN","R-HSA-1169408","ISG15 antiviral mechanism","6/136","73/11009",0.000274826141853309,0.0443917899040819,0.0407755629692204,"402569/9246/23586/5610/6772/3838",6
"19","LTED_DOWN","R-HSA-909733","Interferon alpha/beta signaling","6/136","77/11009",0.000367656512544153,0.0443917899040819,0.0407755629692204,"3105/3107/5610/6772/10410/4940",6
"20","LTED_DOWN","R-HSA-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","4/136","29/11009",0.000416383632971522,0.0443917899040819,0.0407755629692204,"6892/3105/3107/51752",4
"21","LTED_DOWN","R-HSA-8874081","MET activates PTK2 signaling","4/136","30/11009",0.00047587169406175,0.0443917899040819,0.0407755629692204,"3688/3912/6714/3673",4
"22","LTED_DOWN","R-HSA-913531","Interferon Signaling","11/136","269/11009",0.000494812944790722,0.0443917899040819,0.0407755629692204,"402569/9246/23586/3105/3107/10437/5610/6772/3838/10410/4940",11
"23","LTED_DOWN","R-HSA-432722","Golgi Associated Vesicle Biogenesis","5/136","56/11009",0.000615872915352639,0.0465985108367347,0.0428025208490289,"10618/7037/6844/7164/8673",5
"24","LTED_DOWN","R-HSA-373760","L1CAM interactions","7/136","119/11009",0.000667813053392695,0.0465985108367347,0.0428025208490289,"6712/3688/3912/6714/3673/6197/287",7
