"","LTED_0_rep1","LTED_0_rep2","LTED_0_rep3","LTED_2_rep1","LTED_2_rep2","LTED_2_rep3","LTED_5_rep1","LTED_5_rep2","LTED_5_rep3","LTED_10_rep1","LTED_10_rep2","LTED_10_rep3","LTED_30_rep1","LTED_30_rep2","LTED_30_rep3","LTED_60_rep1","LTED_60_rep2","LTED_60_rep3","LTED_120_rep1","LTED_120_rep2","LTED_120_rep3","TAMR_0_rep1","TAMR_0_rep2","TAMR_0_rep3","TAMR_2_rep1","TAMR_2_rep2","TAMR_2_rep3","TAMR_5_rep1","TAMR_5_rep2","TAMR_5_rep3","TAMR_10_rep1","TAMR_10_rep2","TAMR_10_rep3","TAMR_30_rep1","TAMR_30_rep2","TAMR_30_rep3","TAMR_60_rep1","TAMR_60_rep2","TAMR_60_rep3","TAMR_120_rep1","TAMR_120_rep2","TAMR_120_rep3","WT_0_rep1","WT_0_rep2","WT_0_rep3","WT_2_rep1","WT_2_rep2","WT_2_rep3","WT_5_rep1","WT_5_rep2","WT_5_rep3","WT_10_rep1","WT_10_rep2","WT_10_rep3","WT_30_rep1","WT_30_rep2","WT_30_rep3","WT_60_rep1","WT_60_rep2","WT_60_rep3","WT_120_rep1","WT_120_rep2","WT_120_rep3","gene"
"A0A024RBG1_NUDT4B",15.9363007141993,NA,NA,16.1102954739286,15.581716804971,14.9406982272061,16.0210540806347,15.5251199828467,15.3404629676334,16.0746805946254,15.7219149198091,15.1653898579391,15.985907200383,14.9686461632497,15.3125272857493,15.8892520379723,15.3357693318535,15.0873875143191,15.857910734409,15.1259745312933,15.4768111099138,15.5362382694165,15.2754636922871,15.5879576541631,15.6797417696109,15.3783476853268,NA,15.2351873100869,NA,15.6911551496555,15.274799307323,15.9476241052716,15.5459801694099,15.4453942686698,15.5052483708735,15.4010952259801,15.8313200735146,15.3738866045029,15.6940902459338,15.746820304926,15.5072863154278,15.833464362008,NA,NA,15.0362266554903,NA,15.1983401468844,NA,15.1979524708484,15.0318402566696,NA,NA,15.0112583209017,NA,NA,15.4218283996193,NA,15.4332385477782,14.9877988381583,NA,NA,14.9412558841563,14.923616866737,"NUDT4B"
"A0A096LP01_SMIM26",15.9505125186004,15.9195388979197,15.8171528464117,16.1326866899339,NA,15.9591735066386,16.0585017915784,15.7703781799455,15.7764586111335,15.9505325268466,15.5335365205813,15.9623217656578,NA,15.933841899029,15.9557982353296,15.0061628301789,15.7128571051994,15.8631097634945,15.9802921865226,15.9544166212446,15.5789254896505,NA,15.5085507704655,15.6962528203076,NA,15.5114578561329,NA,15.117521856147,15.7088322784578,15.5800689004352,15.4933771438042,15.4807332724517,15.2971776985695,15.5525897096929,15.4728054841266,15.497363833108,15.427890769971,15.666826285556,15.4640942458135,15.6161429198792,15.6987249734227,15.6258715785331,15.7359903746092,15.6774009921504,15.3902906655046,15.5879994127752,15.6840002228512,15.5985621435985,15.6038485931654,15.6791169029041,15.5286833798666,15.3673614305291,15.6156463234984,15.5333263897486,15.6190319124048,15.6606742082012,15.6337461803044,15.530439391388,15.4422678272779,15.3042091919798,15.4570676857172,15.5907758002558,15.4659531523738,"SMIM26"
"A0A0B4J2F0_PIGBOS1",18.9737157867812,18.5946366384664,18.7767981634218,18.4968253109829,19.0339413247737,18.4712670690425,18.4551100922159,18.451528980902,18.4806862503929,18.50183264632,18.4689286665644,18.425946776899,18.8994294276692,18.8034018255439,18.3388394071085,18.4502902296052,18.5385320596218,18.7576202838563,18.2366591368404,18.4414702609076,18.3652416154634,NA,NA,NA,16.4096818789189,NA,17.5945387600267,16.181698804181,17.0465471409547,16.52967745194,16.6065813572952,NA,NA,NA,NA,16.8459890161153,16.9861095778127,NA,NA,16.6533702388721,NA,16.9036590905431,16.8858855090034,16.3633141061164,16.5406571254643,16.8086352770408,16.6116251451914,17.1062669188577,NA,16.7787664748656,16.9883180929341,15.9517007971028,16.9432790026807,17.1399726279041,16.4066571940767,16.7320655283728,16.8771987752109,16.7100381946496,16.5033472288689,16.8435420640869,16.7993551033442,16.8743437503484,16.6826530842586,"PIGBOS1"
"A0A1W2PQ72_MSANTD7",14.5940366221607,14.9342962936306,14.9310978546467,15.0430084568253,14.6774616854063,14.8158468268091,14.9368675963817,14.9492318513615,14.9230581124498,14.8790664521955,14.9968766396901,14.9442942311578,14.7188689268329,14.9166086661611,14.8716926388253,14.9394794359785,14.9277052218154,15.0676752811111,14.9403626227773,15.0309456916966,14.6850923293108,15.2317054979115,15.044207271932,NA,15.1706625045375,14.9684890032026,NA,15.0461066286018,NA,14.626725624173,14.9828095853493,NA,14.8580183232349,15.0967752933465,14.946346181653,NA,NA,15.1094602651221,14.7480690158336,15.0174934403196,14.9537727671797,NA,15.0546946189796,15.1263257288743,15.3668485914153,15.1578182555242,15.211649260551,15.4097092546917,15.1350476730443,15.1502451779754,15.2568029913642,15.0988853398064,15.1859483962497,15.3183078714786,15.0272852547609,15.2488838678857,15.3151821735821,15.0838453136966,15.1211095715161,15.2690483942652,15.1952237785431,15.2545593490484,15.2022029579055,"MSANTD7"
"A0A6I8PU40_TUG1",NA,15.7439490239578,15.6482256190804,15.7612738158244,NA,15.7148264510407,15.7823006737901,15.7117636947174,15.5863227985367,15.284129240724,15.7820950386561,15.7618907863428,NA,15.5119220728778,15.3443619010952,15.615090497163,15.5764587685057,15.6219269511231,15.2427410991185,15.4928885851102,15.6606858363054,NA,NA,14.8068119763316,NA,NA,NA,NA,NA,15.1256268346743,NA,NA,14.9097700109569,NA,15.0595635849407,15.3274859485184,NA,NA,14.8509831742111,15.1200077033911,NA,15.0677414607035,15.3148017722445,15.07827346452,14.8455166987624,14.955588838359,15.0198788811215,15.0735696927902,15.129519236666,15.2885823246738,14.9035492362516,NA,NA,14.8116775899156,14.9571196848182,14.9559039824842,14.9664025323522,15.0864816816729,15.1710596488811,15.272674074768,NA,15.1550076813316,15.2774402888792,"TUG1"
"A0A8Q3SIG1_LOC400499",NA,16.8345989876494,NA,17.1750799724299,NA,NA,17.7450771035282,NA,NA,NA,NA,16.8096600912101,NA,NA,NA,NA,NA,NA,17.2625290696794,17.6950138442971,NA,NA,NA,NA,NA,17.6391001766542,NA,15.0837645211298,NA,NA,16.7146620912831,17.6575509000891,16.5571872881306,16.8521471212921,17.2736077664627,16.635866558904,NA,NA,16.562489984739,NA,NA,16.8547527956912,NA,18.3547632467568,17.1954349978632,NA,17.8968399950285,17.5459830157589,17.7752837808877,NA,17.3829790850304,NA,NA,NA,NA,NA,17.1985095253432,17.6422268311602,18.0878855131708,17.6140454657495,NA,NA,NA,"LOC400499"
"A0AV96_RBM47",19.8267629077197,19.7601496157173,19.7218558119123,19.6741705577049,19.8372236855652,19.6906401908842,19.8654996562133,19.761765930124,19.6729954873003,19.7353642075738,19.7963300390403,19.5820770218803,19.6471267202914,19.8261604915731,19.6715586771735,19.7396238411392,19.8215385779677,19.8270377230526,19.6685951287095,19.6865906303797,19.702029197477,18.7724361698625,19.0703750985148,19.2731807749949,19.0263843857242,19.0962561381197,18.9828591939575,19.1299445725594,19.1363650197583,19.36958913695,19.0479186760352,19.0155734820853,19.0938381460907,19.0477334033165,19.0324150810796,19.2022812275189,19.1296631611158,19.1743276303479,19.1889091632844,19.2129983891645,19.1723220468019,19.3951451327014,19.8886008421268,19.8858248546057,19.9816544182279,19.9450713148745,19.9437479583662,19.9549592342964,19.8640336294018,19.9617309833741,19.940512625446,19.8495350139115,19.8153807853932,19.9355345289515,19.9555794806823,19.9079024845732,19.9319717333043,19.8513354473493,20.0164213302071,20.0148647153505,19.8926485253397,19.838067882127,19.9614875175926,"RBM47"
"A0AVF1_TTC26",16.4282491117808,16.4132864037569,16.7460796568501,16.6213715841697,16.5298411574082,16.5166866646457,16.4529495046759,16.5634080492309,16.6822086395623,16.4424585579894,16.3112087248891,16.8005729928664,16.6982906337423,16.3711301556101,16.6771002813703,16.5416268728994,16.5325819009046,16.5241177264172,16.5525395079858,16.4555795184073,16.6713620964747,15.7141641345247,15.7312685955125,15.9807728907719,16.2141023741087,15.6679264442628,NA,15.7739793137255,15.7030945198899,15.7901120184225,15.9455090591284,15.8676982235152,15.9159119427172,15.7891477036054,16.0061267644809,16.0107017589083,16.0284718172472,15.9391230074613,15.933484065043,15.8156366937955,15.7385746118915,16.0314869997113,16.5299322868488,16.6097224942094,16.4966273425903,16.4327030871103,16.4495859314931,16.5380302169143,16.7146166011185,16.7491749719505,16.4274369931456,16.1969322081712,16.6529100492192,16.6687829590327,16.7133840564613,16.7525740283986,16.6874658030601,16.5773806694163,16.8543743814371,16.6599180271926,16.6626194787604,16.6074231177382,16.5803803760223,"TTC26"
"A0AVI4_TMEM129",16.6751515128344,16.3211056465885,16.3616519114674,15.9258633054871,16.4114550312402,16.495106877552,16.0509163762834,16.329033652651,16.5831324298851,16.3357138765231,15.9875781680671,16.5198045108373,16.2499623507726,16.6823863438074,16.5647527609659,16.4524058958547,16.3253311039933,16.4971571400326,15.8194576441493,16.0784328643317,16.4956001744337,NA,15.6725499514374,NA,NA,15.9584193517917,NA,15.8519439494641,15.5221112965875,16.1539291320381,15.8235241172897,15.6936017835412,NA,15.4758501294267,15.856078237989,15.7923194965506,15.9199851186081,NA,15.6661096267005,15.7807594713104,15.9141253170296,15.5661098997539,15.7192581026026,15.7372999134253,15.4289923113591,15.5859749589587,15.7616747979249,NA,15.3627491725277,15.4451941386405,15.8332104167688,15.3239414683019,15.5400148728501,15.5543942764583,15.4548330601261,15.4874016832111,15.6861755666332,15.7524351337095,15.6464559690678,15.5359239402818,15.7403950571443,15.5252568585376,15.5830110543378,"TMEM129"
"A0AVK6_E2F8",NA,15.4952112804158,15.6052464621899,15.8427638234454,NA,NA,NA,15.6973130066564,15.6804202987511,15.6370984316522,15.551270002769,15.4254694201854,15.3363658113695,15.91569666898,15.5854197108977,15.8592603734927,NA,15.6999248209964,NA,15.5648601132312,15.7755047239994,NA,NA,NA,15.1126604467042,15.1247957376241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6305307198281,NA,NA,NA,15.6859726673599,NA,NA,NA,NA,15.8660830241729,NA,16.3234086489489,NA,NA,NA,15.7259510442445,NA,NA,NA,16.0525528190789,16.2826889601018,16.0069826167209,NA,15.9836665421658,16.302983835783,"E2F8"
