"","LTED_0","LTED_2","LTED_5","LTED_10","LTED_30","LTED_60","LTED_120","TAMR_0","TAMR_2","TAMR_5","TAMR_10","TAMR_30","TAMR_60","TAMR_120"
"ABL1",-0.66589140583525,-1.4945814646832,-0.223394909433108,-0.314800349279775,-0.268309805917032,0.00710687814150596,-0.579416898302519,-2.47512703806005,-2.74607524878979,-1.55072271551071,-2.33786983026395,-2.78505918973723,-2.77479065123527,-3.11615244017411
"AKT1",2.87342784140253,1.86104422000523,2.29002755457768,1.92613061339061,3.94726426080583,4.00265572204392,2.65854349367018,2.34980315818288,2.67069975556089,1.99940420204132,2.54945221194243,4.16281969105218,3.24172769466501,2.40115098131309
"AKT2",1.04859691322158,0.293787369664583,0.437192229483379,1.07781359226693,2.6594285684818,3.41465728582733,1.70942417506806,1.75706356144635,0.965433446696326,1.80461910677932,1.47295907864874,3.50702350756785,3.13960601876551,2.22186829160893
"AKT3",0.995403028739775,0.368852198424057,0.826333335760431,1.15392377210122,2.9339633166785,3.70030750943159,1.7110744854567,2.01470673151462,1.520229829946,2.30399015434569,1.95139286566914,4.08759294184614,3.94864071851672,2.58507741379986
"ARAF",2.75724184223804,3.44054748699132,3.63649529623579,3.82094731952164,3.70119264104753,4.85418280404698,3.46026201598425,3.86768150971611,2.90840510727386,4.45782316406632,5.69727662581506,5.06351962799041,5.62472229731218,5.04662368456586
"ATM",0.277912573712346,0.164567505577106,0.237760992150446,0.437130679279929,-0.225442304947509,-0.236543064361985,-0.854786473816051,0.859582526785406,1.44803693713738,1.52927440511411,1.72929105249259,1.38615568675029,1.11076525041449,1.04124972850781
"ATR",0.562735241722828,0.366458177662413,0.280489902173538,0.110212699479086,0.51822074945502,0.627989310661092,1.06806047538503,-0.0469168760776842,0.406691646609271,-0.00432278982486482,0.485074815681392,0.517499726648628,0.423608155908845,0.678370470149083
"AURKA",1.09261384008632,0.604591690327408,1.0984238684696,0.573018015256371,0.800851717316826,0.00441307905529383,0.681796873912225,0.473644882554976,-0.207486617155668,1.69844100802017,0.226351770667563,0.533310742962246,0.167536458319469,-0.226446172144037
"AURKB",2.24365531064366,2.23263141728637,2.61215361185033,2.54433767187271,2.42532605375263,2.50722071114242,1.60803380655122,0.891910716691853,0.622514114261584,1.3435979678733,0.765100346509175,0.395776563970886,0.0431320526153069,-0.442849632730911
"BRAF",5.50875913420494,5.37788303821456,5.30388389893847,5.07911078476305,4.94075125390077,6.56937005151361,5.67042351729104,4.81081655303378,3.41563904108929,5.09538574239934,5.9585177890183,5.65245859511782,6.43010095776862,5.4050673491519
"BUB1",0.902842989756976,0.987652501399317,0.258828175350488,-0.754619606914682,-0.323701271849195,-0.68015435147472,-0.222937165208677,1.59269948185481,2.68794660414534,0.368935408149143,1.19038499884444,0.813473317224565,1.36120116011892,0.828813608320028
"CAMK2A",0.27825994089338,-0.06378916176278,0.553049349643495,0.560925436913764,0.759983051709702,0.176211756510247,0.235965263090999,-2.05334415356029,-1.53689561066523,-0.0282077316114,-0.99102050313484,-1.43661198269443,-1.63841786002407,-1.511199546914
"CAMK2B",0.964751321588717,0.762481190996665,0.948642656316402,1.2535996954541,0.95699708872065,1.10795573626134,0.617053593679574,-0.0136504385250731,0.821312362277638,1.68359912021786,0.489120221094892,0.148745594822093,0.259331928145952,-0.237820970521891
