"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NUDT4B",0.0961689956363934,17.5096120855594,0.271785873153099,0.789628984137818,0.999486182046446,-5.00218273817845
"SMIM26",0.0523059186834658,16.5951083811858,0.393299268033775,0.699724477783018,0.999486182046446,-4.97760184881585
"GATD3B;GATD3",0.0851209753085378,22.5762942455791,1.19900990343442,0.249431711219371,0.999486182046446,-4.61089658889633
"TMEM275",0.450235901156821,11.2083056860853,1.13274132074078,0.278174588560418,0.999486182046446,-4.65249265282043
"MSANTD7",0.0359340103518075,13.6368392504286,0.164484888915612,0.871742839772008,0.999486182046446,-5.01651422644187
"ARHGEF18",0.224811839771453,15.8865181130563,0.713415910705202,0.487520876947024,0.999486182046446,-4.8714926785147
"RBM47",0.104102907531438,18.6195977240705,1.54553504803767,0.143398276767435,0.999486182046446,-4.36510121046284
"TTC26",0.0304379334917613,16.2539941268644,0.250190582282068,0.805891020079569,0.999486182046446,-5.00565766944828
"UBA6",-0.0142198886805716,21.1190365001775,-0.284617269884847,0.779894226623296,0.999486182046446,-5.00002852756841
"ESYT2",-0.0630839061320998,19.9624803355491,-1.43884944718578,0.171074033695541,0.999486182046446,-4.44513361920485
"MED19",0.0769019557544155,18.3139547900515,0.534013928188511,0.601858934391657,0.999486182046446,-4.93795419737969
"BLTP3B",0.168319227610851,15.8888976384381,1.3889377514246,0.185466662219092,0.999486182046446,-4.48132076602857
"SHTN1",-0.0824197212614841,20.263140601677,-1.03403688425028,0.317775222998561,0.999486182046446,-4.7118044364876
"TMEM223",-0.0890746815941341,17.9954439806058,-0.652225584081394,0.524289937023613,0.999486182046446,-4.89653852651058
"TMEM120B",-0.175427087809611,14.7422028749253,-0.886366188403188,0.390658854416437,0.999486182046446,-4.7913602211326
"ARHGAP10",0.0575285082481365,21.019347103108,0.53662849929385,0.599525149705313,0.999486182046446,-4.93742993782628
"MEX3A",-0.145562469660231,16.4837173122066,-0.615653125354872,0.547506054064955,0.999486182046446,-4.91027628739316
"ILVBL",-0.110456758602815,19.9448660776667,-1.54991491155358,0.142347863807498,0.999486182046446,-4.36174148416432
"C1orf226",-0.101792534882287,15.0926645438058,-0.488938018361206,0.635695939717008,0.999486182046446,-4.95017923995218
"PLEKHG3",-0.0316693292313026,17.5300932527103,-0.394572632964085,0.698804572234042,0.999486182046446,-4.97729756052361
"ELOVL7",-0.331499038121578,16.8497177974693,-1.21871022348965,0.242138204613637,0.999486182046446,-4.5980956098449
"SH3PXD2B",-0.0963340899734071,17.2109253389064,-0.528807276165839,0.604805738625055,0.999486182046446,-4.93992656783676
"NBAS",0.0818922629764742,18.3604311017804,1.21459430544397,0.243607467052501,0.999486182046446,-4.60078011092444
"TARS3",0.128507798072089,18.3942026725891,1.25456663366229,0.229151638194924,0.999486182046446,-4.57439574871616
"FAM234B",-0.384661354504146,16.7989292750282,-1.5683977349215,0.137986736873055,0.999486182046446,-4.34750205814837
"TYW5",0.0788015554441017,17.7368953899416,0.60153159393659,0.556618704251564,0.999486182046446,-4.91538398832007
"VWA8",0.00027198203124712,20.2691918509339,0.00675964425031734,0.994697198643364,0.999486182046446,-5.02485613240895
"SBNO1",-0.0223338899172774,19.5094171894783,-0.312578090446408,0.758976703783661,0.999486182046446,-4.99493189725933
"CRPPA",-0.0565869978667664,17.4002582334612,-0.208585483965792,0.837850311420399,0.999486182046446,-5.01143835983699
"GTPBP10",0.0334475722474998,19.2031863906022,0.381334539726023,0.708391655875944,0.999486182046446,-4.98041432890721
"WDR91",-0.0211990524332961,18.7634394819377,-0.214141731043931,0.833368562462212,0.999486182046446,-5.01078396262168
"KLRG2",-0.0664798995926557,11.1255201865131,-0.153571691227634,0.880553243200239,0.999486182046446,-5.01750240168362
"RAB19",0.0697049297250523,16.3561003049047,0.297498223663832,0.771280072894032,0.999486182046446,-4.99732899887232
"DENND11",0.22747505047041,16.5409710918183,1.33943443238578,0.200703003058418,0.999486182046446,-4.51636926875877
"PEDS1",0.0125381245424236,18.6698576551903,0.128659176445124,0.899365158779789,0.999486182046446,-5.01977821691304
"CNOT1",0.0119833181762132,21.5365863932257,0.200433517304082,0.843878835653802,0.999486182046446,-5.01252631429033
"MAP1LC3B2;MAP1LC3B",-0.0146489063394171,17.7519568870843,-0.0192198719620637,0.984928419549193,0.999486182046446,-5.0247563314811
"FAM83G",-0.00589545672383451,19.1944102842799,-0.0856465507011174,0.93289909720151,0.999486182046446,-5.02261274932005
"PALM3",0.136363325673377,16.058049622773,0.628134583716967,0.539520066031897,0.999486182046446,-4.90567024918601
"PGP",0.00497603563326265,22.0787905248852,0.0655579794858708,0.948610006578182,0.999486182046446,-5.0235473416101
"RIMOC1",0.126922942793641,18.911506472198,0.600298206305251,0.557515156722712,0.999486182046446,-4.91577044286934
"RCCD1",0.013221165286037,16.3541432219105,0.124414322514248,0.90266685337862,0.999486182046446,-5.02010842719058
"ZNF316",-0.117823518721853,17.7730185786324,-1.12366025924765,0.279112481241661,0.999486182046446,-4.65841705926287
"SDHAF1",-0.168911745998905,13.8102988139735,-1.00183161291542,0.332577161166202,0.999486182046446,-4.73011945782041
"MROH6",-0.0351437445983152,16.8822572604467,-0.373380048051701,0.720313758578401,0.999486182046446,-4.97938940189776
"TUBAL3",0.366385476606236,20.1294335332205,0.754767647690901,0.462505840357195,0.999486182046446,-4.85404884740806
"SMCHD1",0.0513828850430826,19.7711649398956,0.790187912140002,0.44193705061377,0.999486182046446,-4.8382567895519
"CASTOR2",0.395891522380904,16.6118850298487,1.9986708134143,0.0644204274890171,0.999486182046446,-3.99231797799817
"UNC119B",-0.00926436385344687,18.9100145328671,-0.0862468425727832,0.932430029898977,0.999486182046446,-5.02258100513352
"METTL15",-0.0938049531290304,17.0695922743813,-0.934307111610958,0.365189179590437,0.999486182046446,-4.76696881844063
"LIPT2",-0.0457096262797627,15.9650369991032,-0.168066766416984,0.869388711790149,0.999486182046446,-5.0160484111414
"CCDC85C",0.0106315995620605,17.5042225542874,0.0816907462507313,0.93599079308752,0.999486182046446,-5.02281640013165
"SAC3D1",-0.213131133782625,18.5917934934694,-1.94842844877727,0.0706482344666924,0.999486182046446,-4.03575876957256
"USP27X",0.0778759626330725,12.3300659032393,0.363106409337701,0.722046450877671,0.999486182046446,-4.98436898276641
"ZSWIM8",0.0711604039230807,17.5104737662796,0.750504055396208,0.464755554174178,0.999486182046446,-4.85604785439957
"POM121C",-0.0176467260020239,17.5115628398541,-0.0814216516666354,0.936201145792032,0.999486182046446,-5.02282990422075
"CEBPZOS",0.106632266723036,12.7868208942833,0.389543702404767,0.703302411620178,0.999486182046446,-4.97808517686365
"PHF20L1",-0.182217376883116,17.4198006477958,-0.767922307928793,0.455563437503818,0.999486182046446,-4.84785572148198
"SNRPGP15;SNRPG",0.102135566398474,22.8829450972513,0.43489936452915,0.670056502384997,0.999486182046446,-4.96710541433765
"NUDT19",0.129255984322441,18.2580102327776,1.2543960027982,0.229211884247775,0.999486182046446,-4.5745096928002
"MIF4GD",-0.00747526491274897,17.1594535876957,-0.0538010324322505,0.957815587933104,0.999486182046446,-5.02397920972802
"HACD1",0.434275660640797,14.1086239382471,1.32661863892973,0.212124704587003,0.999486182046446,-4.5278408576774
"ESPN",0.0474151163490362,17.940724185705,0.252297874217585,0.804542945812732,0.999486182046446,-5.00524781985643
"MYO9A",0.14282338253394,16.4262840789753,1.09418802684566,0.291419009784882,0.999486182046446,-4.6763581804934
"EPM2A",-0.186444275706336,17.1377181237456,-0.783259074877798,0.445869499661712,0.999486182046446,-4.84142173112846
"GPR89A;GPR89B",-0.0737735797455095,20.1933624025513,-0.806605403908107,0.432707227364348,0.999486182046446,-4.83065951991379
"HNRNPCL3;HNRNPCL1;HNRNPCL4",-0.105528049461373,16.1147330381921,-0.15452555279456,0.880819080699547,0.999486182046446,-5.01718738194392
"IGLL5",0.952684949759341,17.989220862938,3.16280075797888,0.00668394192793905,0.999486182046446,-2.94622845398747
"WASH3P;WASH2P",0.143545793349244,19.887957315809,0.438340276520794,0.667617904368585,0.999486182046446,-4.9661963204851
"TMEM238",-0.252681663080907,17.9450927535281,-1.96560781208316,0.0684598699769797,0.999486182046446,-4.02095269956504
"RNF223",-0.175070586098425,15.9842296039188,-1.0374976356423,0.320382962276925,0.999486182046446,-4.70866423842087
"NACA",0.0111853240898725,24.3133281802832,0.197016665389437,0.846503455189411,0.999486182046446,-5.01294280721283
"C11orf98",0.178075406983336,19.7091170629502,0.387901152382089,0.703740115961626,0.999486182046446,-4.97882898164686
"CNK3/IPCEF1;CNKSR3",0.310845113311297,11.6124453687928,0.916456424941444,0.379526830028869,0.999486182046446,-4.77409654419065
"ASDURF",0.0666031499977322,17.6547824974139,0.46236868613502,0.650563655843151,0.999486182046446,-4.95972615752318
"DNASE2",-0.142299011243093,20.0381129760601,-0.638395455426346,0.533198217468368,0.999486182046446,-4.90170982557789
"UBXN8",0.288539927542475,14.1168298062912,1.19636683227902,0.255135438438886,0.999486182046446,-4.61266784268396
"KIF2A",-0.0201652353996806,20.5081091287935,-0.437731050435334,0.667922908811597,0.999486182046446,-4.9664218464322
"DDX39A",-0.00919344524301735,22.3202851720378,-0.0730205723510833,0.942770707645926,0.999486182046446,-5.02322911530834
"PDLIM1",0.055204705868622,19.3496230620548,0.521200034678413,0.609963861018243,0.999486182046446,-4.94232158405366
"ACOT7",-0.0394355714502375,22.5897939616151,-0.34421768779257,0.735540657763291,0.999486182046446,-4.98860053534573
"MYO1C",-0.0195161346427533,22.210722893305,-0.399104194462854,0.69553484641664,0.999486182046446,-4.97620694222005
"SNAP23",0.0601935463313303,17.4379602335927,0.28138105289322,0.78232700601654,0.999486182046446,-5.00058809951287
"HAX1",-0.00707196475979543,20.1554798485229,-0.0902471856299981,0.929304837401847,0.999486182046446,-5.02236380861586
"AIP",-0.0391756083172652,20.0187315697603,-0.531936382444407,0.602690321221836,0.999486182046446,-4.93893188093631
"GTPBP1",0.0629999974196949,23.0697916038501,1.24646866041848,0.232024594760218,0.999486182046446,-4.57979108205903
"KCNK1",0.471620299871795,18.8965137125998,3.22418514343115,0.00940465157022457,0.999486182046446,-3.12648638973122
"STXBP3",-0.0553397011008379,20.2082758190752,-0.567169322749755,0.579128990144475,0.999486182046446,-4.92735004051962
"AP4M1",0.0470345628422315,18.7403455810986,0.554685956952719,0.587422283610979,0.999486182046446,-4.93153362216002
