"","LTED_0_rep1","LTED_0_rep2","LTED_0_rep3","LTED_10_rep1","LTED_10_rep2","LTED_10_rep3","LTED_120_rep1","LTED_120_rep2","LTED_120_rep3","LTED_2_rep1","LTED_2_rep2","LTED_2_rep3","LTED_30_rep1","LTED_30_rep2","LTED_30_rep3","LTED_5_rep1","LTED_5_rep2","LTED_5_rep3","LTED_60_rep1","LTED_60_rep2","LTED_60_rep3","TAMR_0_rep1","TAMR_0_rep2","TAMR_0_rep3","TAMR_10_rep1","TAMR_10_rep2","TAMR_10_rep3","TAMR_120_rep1","TAMR_120_rep2","TAMR_120_rep3","TAMR_2_rep1","TAMR_2_rep2","TAMR_2_rep3","TAMR_30_rep1","TAMR_30_rep2","TAMR_30_rep3","TAMR_5_rep1","TAMR_5_rep2","TAMR_5_rep3","TAMR_60_rep1","TAMR_60_rep2","TAMR_60_rep3","WT_0_rep1","WT_0_rep2","WT_0_rep3","WT_10_rep1","WT_10_rep2","WT_10_rep3","WT_120_rep1","WT_120_rep2","WT_120_rep3","WT_2_rep1","WT_2_rep2","WT_2_rep3","WT_30_rep1","WT_30_rep2","WT_30_rep3","WT_5_rep1","WT_5_rep2","WT_5_rep3","WT_60_rep2","WT_60_rep1","WT_60_rep3"
"TRAV18_S83",17.6230333731847,16.7254557439075,17.4518340415778,17.4258928214902,16.6337299589647,17.4970652988204,NA,16.733452730739,17.6585534236126,NA,16.6895170232651,17.6744466100869,16.958603184413,16.8432868499633,17.7042796283421,17.5642808624313,16.3680408974341,17.561487451104,17.5688868124213,17.3151467538788,17.6800978198242,NA,NA,NA,NA,16.4456364769354,NA,NA,16.1987621920481,17.1495226622082,NA,15.0701671398658,NA,16.8807194918406,16.3931237419397,NA,NA,16.4992900416393,NA,16.9029988811063,16.0324042539428,17.0700875766091,17.622168728967,16.5005333917177,NA,NA,16.520809977514,17.3968112531187,NA,17.1206675437338,NA,NA,NA,17.4704391600421,NA,NA,17.3444578038733,NA,16.1662990892806,16.4970230754296,15.1384544653139,17.7764259807923,NA
"ARHGEF5_S1126",19.3078262439966,17.063241289152,19.2726503325677,18.8184991419237,16.7226762467979,18.2444065760521,19.2282913622998,17.4592408374978,NA,19.6568636585067,16.6190756852783,19.2965356835401,19.4438044634026,18.5085234384226,19.1087897082386,19.0892882446064,16.5990834300206,19.2858607068046,19.021730396214,17.7438956705612,19.2955753239458,17.8779227884308,16.0479399397528,17.7532588833604,17.8915593802384,16.2603073692849,17.5597835824294,17.4208430212122,NA,18.0816883512669,16.8450746741793,16.2453490716589,17.5051587757254,19.4421491499927,16.6257950311548,17.5928578692556,17.3808002967382,15.9661773761972,17.1293056927745,18.8615094908342,17.1478162895594,18.1567436057534,19.8527338000326,18.7724064448241,19.9487898960206,19.7750474073611,16.9069659285159,19.5890697357771,19.8014421130758,17.020737517586,19.9196254152508,18.5543171857085,18.6926639513839,19.4750802382913,19.483466843866,16.9860584419542,19.5236348905837,19.754433130245,18.5199708499533,19.6682314971601,18.6170594934366,19.6659033740514,19.4625796374707
"ARHGEF5_S1405",16.8614713151211,15.9942471907528,17.1310828792737,16.9510835626076,16.1415432598301,17.1944404613756,16.916657247792,16.2754112809846,17.3443907133673,16.8998763925037,16.2069623535503,17.1922981912105,17.0661535664233,15.9726925136569,16.8173046958123,17.0604620415361,16.0754191378548,17.073861073198,17.1166118829155,16.3558414871156,17.0854904825703,15.6018183382023,14.9514714142704,16.036406318197,15.7091280892975,NA,15.7554277180365,15.7878776760274,NA,15.9829900742946,15.7947632797016,15.1602253289229,NA,15.8304417426828,NA,15.7143017048888,15.9346265602982,NA,16.1588299277237,15.5073536310499,14.8595117129916,15.7403557393125,17.4242898936275,16.165634252561,17.06590492481,17.1397306876455,16.108270066435,17.1153909394729,17.2774317554808,16.176059420141,17.0654793800227,17.292531943412,16.5347337607179,17.2361387526732,16.9555701399147,16.13728807837,16.9989486007431,17.2867530694677,16.0800629704378,17.0215714380163,16.23186193562,17.2078210872295,16.9661607513406
"ARHGEF5_S606",17.583123694298,17.2994950425427,17.1537108358591,17.3433830632729,17.7475731187623,17.5118610163249,17.3145308154576,NA,NA,15.6235020680657,19.4450425457711,NA,17.8308670368978,18.6536383423551,NA,NA,17.8627107818272,17.2168511431786,17.6515799703124,18.3033984630654,17.5735231641657,18.0022525029051,18.0327341052966,NA,18.2390229146818,18.8138725749939,18.0214304824943,18.0116521504756,17.3781389465536,17.5052383850429,19.182075148249,18.717414563243,NA,18.147123234959,18.2879634071859,17.758023270004,18.5207821765757,19.0101239815339,17.7641326004022,17.6152472091222,17.9254776892511,NA,NA,NA,NA,17.9924951615126,18.8889661869974,17.2423144105537,NA,17.196997076667,18.2192692051337,NA,17.2984890563051,NA,17.9829380359327,17.9306343855941,17.4582512195811,17.0307904577672,17.7926547327745,NA,17.7290236420672,NA,17.6549721215692
"ARHGEF5_S110",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.590974365133,NA,NA,NA,NA,13.9687388576561,NA,NA,NA,NA,NA,14.0175232884219,NA,NA,NA,11.9710426866909,NA,NA,NA,NA,14.2752439223003,13.5606758979613,NA,NA,NA,NA,14.1025322720761,14.1191587089193,NA,14.3358818997423,NA,13.8819506499494,NA,13.9354174842696,14.586954400132,13.693375566666,NA,13.6804385669519,14.1650306007841,NA,NA,NA,NA,NA,14.5720019564762,14.342234147452,NA,14.4266455984462,NA,14.1526949267996,14.2789397035605,NA,14.468704279839,14.3667444040258
"ARHGEF5_S892",14.1947740505479,14.5535144224595,15.1030126204293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5965718615811,NA,NA,13.7106256582941,NA,16.0573229513848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6399834644013,NA,NA,NA,NA,NA,15.2300038722683,NA,NA,NA,NA,NA,NA,NA,15.5762677948419,NA
"ARHGEF5_S184",16.8490260495875,NA,17.0148390674579,16.2281985017048,15.974776548968,16.9045988931788,16.3985002723924,15.8173143204098,16.79527432769,16.5392417174922,15.975332618077,16.8523166946928,16.4629525162912,16.079531493797,16.8871353721128,16.7865852722515,16.0366593577545,16.935081878854,16.505483407516,16.1004512309468,16.9667776677762,15.0751354519529,14.923354334585,NA,15.3372715798689,NA,15.8414351675977,15.5312269495736,NA,16.2225236839625,15.2996905622332,NA,NA,15.3506835086101,NA,15.8583224472608,NA,14.8117738251499,16.1054783373477,14.9433285104616,NA,15.9242028889686,16.2869964957652,15.9900598130606,16.7869548550476,16.4312515933647,NA,15.9197473511774,16.3979062161635,15.7367026690739,16.9127789240265,16.4378051270058,NA,16.3963207398775,16.5850707789243,15.942181363562,16.3177900270585,16.5162963052099,16.1694831745728,16.3938112421526,16.1564334908669,16.4662744889852,16.4889101165381
"ARHGEF5_S450",NA,NA,NA,NA,NA,NA,16.6083710335466,16.7724509312293,13.5513247556929,NA,15.9487722146805,12.3504463950978,14.2400417711722,17.4088713903829,13.1257839686576,NA,16.1856086437601,NA,16.5357629015281,16.9489207110861,16.1481787812266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3931134368218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4620827086088,NA,NA,NA,NA,NA,NA,NA,NA
"ARHGEF5_S445",NA,15.4473807157554,NA,NA,NA,14.9771314512713,16.6083710335466,16.7724509312293,16.1208513630547,NA,16.1609112603256,12.3504463950978,14.2400417711722,17.4088713903829,13.1257839686576,NA,16.4333647953462,NA,16.5357629015281,16.9489207110861,16.1481787812266,NA,NA,NA,NA,NA,NA,NA,14.591981408333,NA,NA,NA,NA,13.1273972999696,15.1015949104051,NA,NA,NA,NA,NA,14.3931134368218,NA,NA,NA,NA,NA,14.1920819082353,NA,NA,NA,NA,NA,13.4044712603612,NA,13.4620827086088,14.1204010390517,NA,NA,NA,NA,NA,NA,NA
"ARHGEF5_S983",NA,15.2107370216552,16.5183037354183,NA,15.3127399039231,13.3185330281173,16.5994875592393,15.3497836597457,NA,NA,NA,NA,16.553955639789,15.0682945849317,NA,16.3013648831759,NA,16.4776117133535,16.6242997792108,15.5117954002004,NA,15.3322203055081,NA,15.7216332766989,15.613719984571,NA,NA,15.6917213739619,NA,16.1085801700881,NA,NA,NA,NA,NA,NA,15.5721226702582,NA,15.6371949980908,15.5035175061185,14.9072456307468,NA,16.8261959817028,NA,16.7429633728852,16.9263036925803,15.4312647524025,NA,16.8102414891405,15.5307827768595,16.4564756383681,16.6739771430321,NA,16.7558889939853,NA,15.6438519154853,16.8384136081755,12.714487233218,NA,16.6740575482954,15.5555842078671,16.7857379789975,NA
