"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NUDT4B",0.192202289330961,17.5096120855594,0.543966874772522,0.594738691029723,0.933531465418893,-5.02432542887684
"SMIM26",-0.0932779885733801,16.5951083811858,-0.70805654023047,0.489916800909042,0.914774148954532,-4.95518923490134
"GATD3B;GATD3",0.0304236226032408,22.5762942455791,0.428490272618796,0.674467693569319,0.945496050667302,-5.06282396457123
"NBDY",-0.135657782024824,11.8106616648694,-0.337218906177485,0.741877460983393,0.959121035313995,-5.08632826007968
"ARHGEF18",0.417056090165792,15.8865181130563,1.32745505129478,0.205910801469846,0.843753658848491,-4.55667581128667
"RBM47",-0.106051415138271,18.6195977240705,-1.58156906534486,0.134887977992134,0.842341998928484,-4.34119800646766
"TTC26",0.087669524455805,16.2539941268644,0.729230250682694,0.477248558501004,0.911462804536586,-4.94503885095098
"UBA6",-0.0373700957627499,21.1190365001775,-0.747032916184158,0.466751877721315,0.911462804536586,-4.93629499408032
"ESYT2",-0.00736962191822954,19.9624803355491,-0.168162620354853,0.868732805403055,0.980174066839352,-5.11656821213927
"BLTP3B",0.171900663891721,15.8888976384381,1.433635002441,0.172473784356545,0.842341998928484,-4.46941684030185
"SHTN1",0.112529152442157,20.263140601677,1.41298729222431,0.178353313288443,0.842341998928484,-4.48666087508179
"TMEM223",-0.161206704374269,17.9954439806058,-1.18439371748547,0.254937906265804,0.850763184094445,-4.66563313294936
"ARHGAP10",-0.0651924037824934,21.019347103108,-0.608655481253719,0.551984951582993,0.92552891980847,-4.99915664185239
"MEX3A",-0.0766298993849883,16.4837173122066,-0.325439540899467,0.749405819209753,0.961031568617505,-5.08961225699161
"ILVBL",-0.108110942981131,19.9448660776667,-1.51861911141859,0.149938012423996,0.842341998928484,-4.39672877648678
"PLEKHG3",0.111194503419746,17.5300932527103,1.40146356882217,0.181705700894997,0.842341998928484,-4.49621177469515
"ELOVL7",0.363325692299892,16.8497177974693,1.33760648637079,0.201367887889867,0.842341998928484,-4.54820612258438
"SH3PXD2B",-0.0266115743822724,17.2109253389064,-0.14666981029831,0.885372719918665,0.982823192403566,-5.11892677001178
"NBAS",-0.0448894064320058,18.3604311017804,-0.669714733834547,0.5133579191635,0.918865221019509,-4.9728737090576
"TARS3",-0.0890930493269124,18.3942026725891,-0.872607532576146,0.396819736144068,0.89748855011745,-4.86930718297959
"FAM234B",-0.127315667403064,16.7989292750282,-0.520932723793106,0.610123355494561,0.936335994482148,-5.03278669387725
"TYW5",-0.181681352064604,17.7368953899416,-1.39306953227892,0.18417996591539,0.842341998928484,-4.50313539069416
"VWA8",0.0387390290893244,20.2691918509339,0.961893129542222,0.351563335651533,0.886421458442757,-4.81621729793524
"SBNO1",0.101256898693631,19.5094171894783,1.41966358792686,0.176434441477258,0.842341998928484,-4.48110345475539
"CRPPA",0.29706077880315,17.4002582334612,1.09525064988011,0.292394943958819,0.875482866553864,-4.72855393270395
"FAM221A",-0.417217308585698,15.7946253491978,-1.21160904820926,0.266959479615888,0.855784088667751,-4.64465202391139
"GTPBP10",0.145207336743898,19.2031863906022,1.65893171312022,0.118174488620179,0.842341998928484,-4.271122117741
"WDR91",-0.120113299456747,18.7634394819377,-1.21639391156323,0.242887405642335,0.849389846357638,-4.64197330509491
"DENND11",-0.146147349910539,16.5409710918183,-0.866170808812035,0.400226781362407,0.899243050380325,-4.87296248989476
"PEDS1",-0.0867653250570939,18.6698576551903,-0.892841938742538,0.386235653369422,0.896341048011413,-4.85766398386801
"CNOT1",0.0168651095043053,21.5365863932257,0.281915713104181,0.781913682648133,0.966732684376251,-5.09876970790188
"MAP1LC3B2;MAP1LC3B",0.993627125437165,17.7519568870843,1.29863634790223,0.214561884799978,0.846423796376897,-4.57914808536382
"FAM83G",0.00898398561242431,19.1944102842799,0.130831959438484,0.897670810783322,0.984405675544383,-5.12045946610611
"PALM3",-0.154824290975931,16.058049622773,-0.716437492690191,0.484878705255292,0.912730526544901,-4.9512040270163
"PGP",0.0176097611925279,22.0787905248852,0.232074574984856,0.819659869782409,0.970431456911451,-5.10766522219348
"RIMOC1",-0.0312008687274599,18.911506472198,-0.147615013250913,0.884667052329095,0.982823192403566,-5.11882321565125
"RCCD1",-0.0507404347455669,16.3541432219105,-0.484756860478384,0.634948130099104,0.938925721121189,-5.04520920051438
"ZNF316",-0.0124295035435011,17.7730185786324,-0.119243677226907,0.90668652847614,0.985077106827249,-5.12147041310635
"SDHAF1",-0.174085836754536,13.8102988139735,-1.0156860637939,0.326103523250774,0.878437682691824,-4.78213800339987
"TUBAL3",-0.421893164196749,20.1294335332205,-0.865688949735442,0.400910621850737,0.899243050380325,-4.87299207130634
"SMCHD1",0.0836068768361002,19.7711649398956,1.28747432751493,0.21770733370938,0.847331168713696,-4.58774468098956
"CASTOR2",-0.0964552732903847,16.6118850298487,-0.489409068751857,0.631729278602894,0.938733993165069,-5.0436595324979
"UNC119B",0.195100412737133,18.9100145328671,1.82018533686349,0.0890207880163781,0.842341998928484,-4.11921315980885
"METTL15",-0.0647256597864079,17.0695922743813,-0.651957732943304,0.524429234103729,0.921426436241604,-4.98075694869344
"CCDC85C",0.113038145829027,17.5042225542874,0.873229623972721,0.396491481168949,0.89748855011745,-4.86895266355736
"SAC3D1",0.0135025073478836,18.5917934934694,0.123764582039201,0.903167599352852,0.984405675544383,-5.12108712985225
"USP27X",0.000625424353554394,12.3300659032393,0.00279435707502787,0.997810440021469,0.999742128090196,-5.12643184181664
"ZSWIM8",-0.029076778773252,17.5104737662796,-0.309373394166468,0.761352222161722,0.963360829111366,-5.09314281336662
"POM121C",0.316951284732962,17.5115628398541,1.46657840980357,0.16342501577862,0.842341998928484,-4.44156190155689
"SNRPGP15;SNRPG",-0.099962822813211,22.8829450972513,-0.425989082338906,0.676377873125738,0.946531737281686,-5.06348458167057
"NUDT19",0.0347671538937924,18.2580102327776,0.338666429437804,0.739620049706938,0.958733148350364,-5.08657411540969
"MIF4GD",-0.0895709083839655,17.1594535876957,-0.648610148578806,0.526531466597787,0.922640245251862,-4.9822211887568
"HACD1",0.0436361643554157,14.1086239382471,0.132990820851838,0.896647618961663,0.984405675544383,-5.12011782173849
"MYO9A",-0.150528059975642,16.4262840789753,-1.16519820046339,0.262383738418865,0.851343345813351,-4.67959454332779
"EPM2A",0.344050365399251,17.1377181237456,1.44980262613725,0.167982432413912,0.842341998928484,-4.4557984756114
"GPR89A;GPR89B",0.106615938625644,20.1933624025513,1.16690214106253,0.261716150686958,0.851343345813351,-4.67836230994134
"IGLL5",-0.304791786705543,17.989220862938,-1.01321185502,0.327585183428306,0.8794047318512,-4.78360058291788
"WASH3P;WASH2P",0.237327903266877,19.887957315809,0.721973380344009,0.481917203537194,0.911504459854973,-4.94832304878582
"TMEM238",-0.0208817375604049,17.9450927535281,-0.163059550989416,0.872678149800865,0.981776234144474,-5.11715722478729
"MCRIP1",-0.14771307003026,17.162217310652,-0.994943686232837,0.338210180510303,0.882084620678191,-4.79440561372785
"STMP1;CEP85L",-0.380153540350785,11.0970465200585,-1.06438410434935,0.315507506486125,0.878437682691824,-4.74629803642907
"NACA",0.119212769826689,24.3133281802832,2.09577829117328,0.0537282107851295,0.842341998928484,-3.8446699938305
"C11orf98",-0.544401895897479,19.7091170629502,-1.18123251972596,0.256728471762693,0.850763184094445,-4.66788407944714
"ASDURF",0.148039488230488,17.6547824974139,1.0320304715029,0.318635928554083,0.878437682691824,-4.77148053163947
"DNASE2",-0.355804500090208,20.0381129760601,-1.59769298374073,0.131691141497252,0.842341998928484,-4.32741983573584
"KIF2A",0.112027554369096,20.5081091287935,2.4301031273567,0.0283165262510934,0.842341998928484,-3.49437581112485
"DDX39A",-0.0882438976786482,22.3202851720378,-0.701591636734296,0.493824254072795,0.916016829726497,-4.95823414268457
"PDLIM1",0.206028862303256,19.3496230620548,1.94853992667594,0.0705772072306614,0.842341998928484,-3.99339878044148
"ACOT7",0.0940838816223888,22.5897939616151,0.821912304995922,0.424176243477182,0.902043681327841,-4.8974551642432
"MYO1C",0.0665721626949711,22.210722893305,1.35943827319118,0.194370411539151,0.842341998928484,-4.53058881322126
"SNAP23",-0.209543258995872,17.4379602335927,-0.98246451538025,0.341666892202817,0.883952237043116,-4.80336699769508
"HAX1",0.0755149428219575,20.1554798485229,0.964554766069019,0.350271692730843,0.886421458442757,-4.81456748880017
"AIP",-0.171528687302274,20.0187315697603,-2.3314118337451,0.0343010637814746,0.842341998928484,-3.59917881212557
