"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NUDT4B",0.0793341456102432,17.5096120855594,0.224464049536448,0.825530593431063,0.999799066208601,-5.01916351050828
"SMIM26",0.0582925040705753,16.5951083811858,0.439677212248113,0.666514931004015,0.999799066208601,-4.97506914213237
"GATD3B;GATD3",0.0649269987656176,22.5762942455791,0.914141232063316,0.375276344344886,0.999799066208601,-4.7839386246432
"MSANTD7",0.0969574636730037,13.6368392504286,0.443358167695768,0.664368447220516,0.999799066208601,-4.97383571531615
"RBM47",-0.143019574758398,18.6195977240705,-2.12179780927433,0.0511345675064514,0.999799066208601,-3.87574879721172
"TTC26",-0.106694954106981,16.2539941268644,-0.879726024741985,0.393049840083155,0.999799066208601,-4.80181974755078
"UBA6",0.00470874062196458,21.1190365001775,0.0939432605350408,0.926412575678827,0.999799066208601,-5.03212521820418
"ESYT2",-0.016203711064545,19.9624803355491,-0.367906589174666,0.718144517535631,0.999799066208601,-4.99288676294939
"MED19",0.102288330707612,18.3139547900515,0.711540191062566,0.488587105104656,0.999799066208601,-4.8800760400632
"BLTP3B",-0.106284673772073,15.8888976384381,-0.878372735585711,0.393760080400345,0.999799066208601,-4.8025108787036
"SHTN1",0.044126332612624,20.263140601677,0.553711900065306,0.588033693803886,0.999799066208601,-4.94052579702641
"TMEM223",-0.155304656951603,17.9954439806058,-1.13897540267446,0.272790232917675,0.999799066208601,-4.65336230040288
"TMEM120B",-0.014991361752525,14.7422028749253,-0.0757534321734994,0.94070096782635,0.999799066208601,-5.03308021893107
"ARHGAP10",-0.11154287986237,21.019347103108,-1.0416518882618,0.314269063257777,0.999799066208601,-4.71272083205965
"MEX3A",0.0902295549056049,16.4837173122066,0.382621038905996,0.707432499443513,0.999799066208601,-4.98948432830397
"ILVBL",0.00867738523266937,19.9448660776667,0.121727050612067,0.904750417826683,0.999799066208601,-5.03025630279039
"PLEKHG3",-0.0459513481092699,17.5300932527103,-0.57305717394361,0.575198783328153,0.999799066208601,-4.93392102642724
"ELOVL7",-0.453068714068564,16.8497177974693,-1.66856461978094,0.116281753637353,0.999799066208601,-4.26712159532119
"SH3PXD2B",-0.171973159738023,17.2109253389064,-0.946065080714694,0.359286628809968,0.999799066208601,-4.76683332612265
"NBAS",-0.095225949259035,18.3604311017804,-1.41126792016268,0.17881419664045,0.999799066208601,-4.46673789566896
"TARS3",0.0292799528793068,18.3942026725891,0.286112746145673,0.778752446727274,0.999799066208601,-5.00941855031995
"FAM234B",0.0572028819489674,16.7989292750282,0.233812515504974,0.818329644401018,0.999799066208601,-5.01785417500196
"TYW5",-0.0325397187491525,17.7368953899416,-0.248813114126128,0.806920522913483,0.999799066208601,-5.01560613653144
"VWA8",-0.0148281463869502,20.2691918509339,-0.366301200481955,0.719316988528392,0.999799066208601,-4.99325011675127
"SBNO1",0.00224411712507333,19.5094171894783,0.031412222242686,0.975359940401475,0.999799066208601,-5.03457165157571
"GTPBP10",-0.0686008932071083,19.2031863906022,-0.782747960336739,0.44610350493401,0.999799066208601,-4.84899622011429
"WDR91",-0.0176729584951723,18.7634394819377,-0.178701346405264,0.860592258486278,0.999799066208601,-5.0249235781469
"DENND11",-0.309604808746954,16.5409710918183,-1.82826208021643,0.0877084026663053,0.999799066208601,-4.13383502896162
"PEDS1",-0.1543354959597,18.6698576551903,-1.58515836761519,0.134032995640889,0.999799066208601,-4.33386682953203
"CNOT1",0.021457702183703,21.5365863932257,0.358355145546708,0.725130958681745,0.999799066208601,-4.9950257650663
"MAP1LC3B2;MAP1LC3B",-0.0720266841066675,17.7519568870843,-0.0942774808564789,0.926189101457202,0.999799066208601,-5.03210036627082
"FAM83G",0.0655990485798412,19.1944102842799,0.952834139923758,0.355957739217847,0.999799066208601,-4.76314307303903
"PALM3",0.0473498857294619,16.058049622773,0.218636402545149,0.829915636224343,0.999799066208601,-5.01998774276393
"PGP",0.0997759639080904,22.0787905248852,1.31449446633184,0.208661044854138,0.999799066208601,-4.53629894596499
"RIMOC1",-0.0690142125344515,18.911506472198,-0.326879275765277,0.748385928569579,0.999799066208601,-5.0016617495966
